address,zipcode,type,status,other_status,price,zestimate,festimate,rent_zestimate,beds,baths,area,year,price_reduction,price_increase,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"2616 Trinity St, Los Angeles, CA 90011",90011,SINGLE_FAMILY,FOR_SALE,House for sale,590000.0,596100,,2763,3,2.0,960,,"$25,000 (Dec 10)",-25000,-1,Video Walkthrough,VIDEO_WALKTHROUGH,20623393,20623393,https://www.zillow.com/homedetails/2616-Trinity-St-Los-Angeles-CA-90011/20623393_zpid/
"7457 Etiwanda Ave, Reseda, CA 91335",91335,SINGLE_FAMILY,FOR_SALE,House for sale,899000.0,929000,,3499,4,3.0,1826,,,,-1,51 days on Zillow,DAYS_ON,19915680,19915680,https://www.zillow.com/homedetails/7457-Etiwanda-Ave-Reseda-CA-91335/19915680_zpid/
"4431 Toland Way, Los Angeles, CA 90041",90041,SINGLE_FAMILY,FOR_SALE,House for sale,1178000.0,1189000,,3850,3,2.0,1331,,,,-1,51 days on Zillow,DAYS_ON,20765125,20765125,https://www.zillow.com/homedetails/4431-Toland-Way-Los-Angeles-CA-90041/20765125_zpid/
"19835 Haynes St, Woodland Hills, CA 91367",91367,SINGLE_FAMILY,FOR_SALE,House for sale,1249900.0,1045300,,3949,4,3.0,1988,,"$49,100 (Dec 9)",-49100,-1,3D Tour,3D_HOME,19925504,19925504,https://www.zillow.com/homedetails/19835-Haynes-St-Woodland-Hills-CA-91367/19925504_zpid/
"609 S Highland Ave, Los Angeles, CA 90036",90036,SINGLE_FAMILY,FOR_SALE,House for sale,2000000.0,2055137,,1888,4,3.0,2508,,,200000,-1,52 days on Zillow,DAYS_ON,20775702,20775702,https://www.zillow.com/homedetails/609-S-Highland-Ave-Los-Angeles-CA-90036/20775702_zpid/
"5021 Cimarron St, Los Angeles, CA 90062",90062,SINGLE_FAMILY,FOR_SALE,House for sale,709000.0,669800,,2749,3,2.0,1213,,"$28,000 (Dec 20)",-28000,-1,"$28,000 (Dec 20)",PRICE_REDUCTION,20569340,20569340,https://www.zillow.com/homedetails/5021-Cimarron-St-Los-Angeles-CA-90062/20569340_zpid/
"12536 Woodbine St, Los Angeles, CA 90066",90066,SINGLE_FAMILY,FOR_SALE,House for sale,1795000.0,1845424,,6392,4,2.0,1898,,"$105,000 (Dec 3)",-105000,-1,"$105,000 (Dec 3)",PRICE_REDUCTION,20456718,20456718,https://www.zillow.com/homedetails/12536-Woodbine-St-Los-Angeles-CA-90066/20456718_zpid/
"22608 Victory Blvd, Woodland Hills, CA 91367",91367,SINGLE_FAMILY,FOR_SALE,House for sale,839900.0,881206,,3427,3,2.0,1392,,"$10,000 (Dec 22)",-10000,-1,3D Tour,3D_HOME,19877610,19877610,https://www.zillow.com/homedetails/22608-Victory-Blvd-Woodland-Hills-CA-91367/19877610_zpid/
"6144 Fair Ave, North Hollywood, CA 91606",91606,SINGLE_FAMILY,FOR_SALE,House for sale,688000.0,711100,,3499,4,2.0,1265,,,,-1,52 days on Zillow,DAYS_ON,20011379,20011379,https://www.zillow.com/homedetails/6144-Fair-Ave-North-Hollywood-CA-91606/20011379_zpid/
"507 N Stanley Ave, Los Angeles, CA 90036",90036,SINGLE_FAMILY,FOR_SALE,House for sale,1899950.0,1905900,,3795,4,5.0,2604,,,,-1,53 days on Zillow,DAYS_ON,20786168,20786168,https://www.zillow.com/homedetails/507-N-Stanley-Ave-Los-Angeles-CA-90036/20786168_zpid/
"4926 Chimineas Ave, Tarzana, CA 91356",91356,SINGLE_FAMILY,FOR_SALE,House for sale,1699000.0,1730500,,9277,3,4.0,2717,,,,-1,53 days on Zillow,DAYS_ON,19949677,19949677,https://www.zillow.com/homedetails/4926-Chimineas-Ave-Tarzana-CA-91356/19949677_zpid/
"2921 S Pacific Ave, San Pedro, CA 90731",90731,SINGLE_FAMILY,FOR_SALE,House for sale,749000.0,819200,,1748,2,2.0,705,,"$16,000 (Dec 22)",-16000,-1,"$16,000 (Dec 22)",PRICE_REDUCTION,21313302,21313302,https://www.zillow.com/homedetails/2921-S-Pacific-Ave-San-Pedro-CA-90731/21313302_zpid/
"4317 7th Ave, Los Angeles, CA 90008",90008,SINGLE_FAMILY,FOR_SALE,House for sale,880000.0,898985,,2713,2,2.0,1195,,,,-1,54 days on Zillow,DAYS_ON,20575021,20575021,https://www.zillow.com/homedetails/4317-7th-Ave-Los-Angeles-CA-90008/20575021_zpid/
"2551 N Hancock Walk, Los Angeles, CA 90031",90031,SINGLE_FAMILY,FOR_SALE,House for sale,799000.0,774000,,4162,4,2.0,1524,,"$51,000 (Nov 2)",-51000,-1,Video Walkthrough,VIDEO_WALKTHROUGH,20637452,20637452,https://www.zillow.com/homedetails/2551-N-Hancock-Walk-Los-Angeles-CA-90031/20637452_zpid/
"354 W 89th St, Los Angeles, CA 90003",90003,SINGLE_FAMILY,FOR_SALE,House for sale,649000.0,654500,,2999,4,3.0,1712,,"$20,000 (Nov 20)",-20000,-1,"$20,000 (Nov 20)",PRICE_REDUCTION,80620558,80620558,https://www.zillow.com/homedetails/354-W-89th-St-Los-Angeles-CA-90003/80620558_zpid/
"854 Commonwealth Ave, Venice, CA 90291",90291,SINGLE_FAMILY,FOR_SALE,House for sale,1549000.0,1492100,,4855,4,4.0,2364,,"$100,000 (Nov 22)",-100000,-1,"$100,000 (Nov 22)",PRICE_REDUCTION,20453471,20453471,https://www.zillow.com/homedetails/854-Commonwealth-Ave-Venice-CA-90291/20453471_zpid/
"11343 Orcas Ave, Sylmar, CA 91342",91342,SINGLE_FAMILY,FOR_SALE,House for sale,2000000.0,2070990,,6025,4,3.0,3170,,,,-1,54 days on Zillow,DAYS_ON,20082756,20082756,https://www.zillow.com/homedetails/11343-Orcas-Ave-Sylmar-CA-91342/20082756_zpid/
"4301 Division St, Los Angeles, CA 90065",90065,SINGLE_FAMILY,FOR_SALE,House for sale,1230000.0,1243488,,4914,4,5.0,1917,,,-20000,-1,54 days on Zillow,DAYS_ON,20763954,20763954,https://www.zillow.com/homedetails/4301-Division-St-Los-Angeles-CA-90065/20763954_zpid/
"1020 Lantana Dr, Los Angeles, CA 90042",90042,SINGLE_FAMILY,FOR_SALE,House for sale,1499000.0,1605100,,5622,4,4.0,2090,,,,-1,3D Tour,3D_HOME,20769754,20769754,https://www.zillow.com/homedetails/1020-Lantana-Dr-Los-Angeles-CA-90042/20769754_zpid/
"2925 Covina St, Los Angeles, CA 90032",90032,SINGLE_FAMILY,FOR_SALE,House for sale,774900.0,818500,,2878,3,3.0,1097,,"$24,100 (Dec 11)",-24100,-1,3D Tour,3D_HOME,20643531,20643531,https://www.zillow.com/homedetails/2925-Covina-St-Los-Angeles-CA-90032/20643531_zpid/
"2928 Park Center Dr, Los Angeles, CA 90068",90068,SINGLE_FAMILY,FOR_SALE,House for sale,1399000.0,1176200,,5000,2,2.0,1274,,,,-1,55 days on Zillow,DAYS_ON,20045947,20045947,https://www.zillow.com/homedetails/2928-Park-Center-Dr-Los-Angeles-CA-90068/20045947_zpid/
"1433 W Summerland Ave, San Pedro, CA 90732",90732,SINGLE_FAMILY,FOR_SALE,House for sale,799000.0,830500,,2949,3,2.0,1227,,,,-1,55 days on Zillow,DAYS_ON,21304677,21304677,https://www.zillow.com/homedetails/1433-W-Summerland-Ave-San-Pedro-CA-90732/21304677_zpid/
"2410 8th Ave, Los Angeles, CA 90018",90018,SINGLE_FAMILY,FOR_SALE,House for sale,1250000.0,1282300,,4949,6,2.0,2531,,"$50,000 (Dec 20)",-50000,-1,"$50,000 (Dec 20)",PRICE_REDUCTION,20595045,20595045,https://www.zillow.com/homedetails/2410-8th-Ave-Los-Angeles-CA-90018/20595045_zpid/
"11208 Wadsworth Ave, Los Angeles, CA 90059",90059,SINGLE_FAMILY,FOR_SALE,House for sale,719990.0,730300,,2949,3,3.0,1616,,,,-1,55 days on Zillow,DAYS_ON,20970831,20970831,https://www.zillow.com/homedetails/11208-Wadsworth-Ave-Los-Angeles-CA-90059/20970831_zpid/
"5600 Aldama St, Los Angeles, CA 90042",90042,SINGLE_FAMILY,FOR_SALE,House for sale,1399000.0,1541000,,5740,6,2.0,2843,,"$100,000 (Nov 17)",-100000,-1,"$100,000 (Nov 17)",PRICE_REDUCTION,20763024,20763024,https://www.zillow.com/homedetails/5600-Aldama-St-Los-Angeles-CA-90042/20763024_zpid/
