address,zipcode,type,status,other_status,price,last_sold_price,tax_assessed_value,tax_assessed_year,mortgage_rate,propert_tax_rate,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"4797 Muir Vlg, Orlando, FL 32808",32808,SINGLE_FAMILY,FOR_SALE,House for sale,154000.0,58000,107376,2018,4.062,1.09,145065,145065,1345,3,2.0,1097,1999,"$1,000 (Jan 13)",10,"$1,000 (Jan 13)",PRICE_REDUCTION,46067253,46067253,https://www.zillow.com/homedetails/4797-Muir-Vlg-Orlando-FL-32808/46067253_zpid/
"2053 Dixie Belle Dr # 2053H, Orlando, FL 32812",32812,CONDO,FOR_SALE,Condo for sale,125000.0,112000,88400,2018,4.681,1.09,116149,116149,1250,2,2.0,993,1994,,10,10 days on Zillow,DAYS_ON,71091025,71091025,https://www.zillow.com/homedetails/2053-Dixie-Belle-Dr-2053H-Orlando-FL-32812/71091025_zpid/
"4801 W Pine St, Orlando, FL 32811",32811,SINGLE_FAMILY,FOR_SALE,House for sale,173900.0,179900,118796,2018,4.062,1.09,163445,163445,1435,3,2.0,1174,2007,,10,10 days on Zillow,DAYS_ON,71084176,71084176,https://www.zillow.com/homedetails/4801-W-Pine-St-Orlando-FL-32811/71084176_zpid/
"4341 Tony St, Orlando, FL 32808",32808,LOT,FOR_SALE,Lot / Land for sale,85000.0,53500,32420,2018,4.681,1.09,,,1200,2,,528,1965,,10,10 days on Zillow,DAYS_ON,99698481,99698481,https://www.zillow.com/homedetails/4341-Tony-St-Orlando-FL-32808/99698481_zpid/
"14325 Bay Isle Dr, Orlando, FL 32824",32824,TOWNHOUSE,FOR_SALE,Townhouse for sale,169000.0,108800,124736,2018,4.062,1.09,158635,158635,1500,3,2.0,1352,1993,,11,11 days on Zillow,DAYS_ON,46269159,46269159,https://www.zillow.com/homedetails/14325-Bay-Isle-Dr-Orlando-FL-32824/46269159_zpid/
"4226 W Jackson St, Orlando, FL 32811",32811,LOT,FOR_SALE,Lot / Land for sale,150000.0,,43847,2018,4.062,1.09,,,1350,3,,1754,1950,,11,11 days on Zillow,DAYS_ON,46222202,46222202,https://www.zillow.com/homedetails/4226-W-Jackson-St-Orlando-FL-32811/46222202_zpid/
"257 N Econlockhatchee Trl, Orlando, FL 32825",32825,LOT,FOR_SALE,Lot / Land for sale,200000.0,165000,86055,2018,4.062,1.09,,,,0,,,-1,,11,11 days on Zillow,DAYS_ON,46227945,46227945,https://www.zillow.com/homedetails/257-N-Econlockhatchee-Trl-Orlando-FL-32825/46227945_zpid/
"5848 Lake Pointe Village Cir APT 411, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,170000.0,182500,101500,2018,4.062,1.09,159980,159980,1395,3,2.0,1231,2007,,11,11 days on Zillow,DAYS_ON,82107695,82107695,https://www.zillow.com/homedetails/5848-Lake-Pointe-Village-Cir-APT-411-Orlando-FL-32822/82107695_zpid/
"6037 Scotchwood Gln APT 6, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,179900.0,109000,100700,2018,4.062,1.09,168924,168924,1350,2,3.0,1343,2003,,12,12 days on Zillow,DAYS_ON,63400251,63400251,https://www.zillow.com/homedetails/6037-Scotchwood-Gln-APT-6-Orlando-FL-32822/63400251_zpid/
"6042 GREEN TURTLE AVENUE Plan, Gulfstream Harbor",32822,SINGLE_FAMILY,FOR_SALE,New construction,107995.0,,,,4.681,1.09,106900,106900,1200,2,2.0,945,2020,,12,Open: Mon - Fri: 8:00 A...,OPEN_HOUSE,2083523083,2083523083,https://www.zillow.com/community/gulfstream-harbor/2083523083_zpid/
